id,sex,age,city,education_level,university,main_in_life,main_in_people,smoking,alcohol,political,synthetic_cluster
9531,м,43,Санкт-Петербург,среднее спец.,,семья и дети,доброта и честность,нейтральное,компромиссное,Либертарианство,borderline
9532,ж,38,Санкт-Петербург,высшее,РАНХиГС,семья и дети,ум и креативность,негативное,резко негативное,Умеренные,reliable
9533,м,38,Уфа,неоконченное высшее,ИТМО,карьера и деньги,власть и богатство,нейтральное,положительное,Либеральные,risky
9534,м,44,Москва,неоконченное высшее,КФУ,семья и дети,доброта и честность,негативное,негативное,Умеренные,reliable
9535,ж,42,Омск,среднее,,развлечения и отдых,красота и здоровье,компромиссное,положительное,Либертарианство,risky
9536,м,36,Челябинск,высшее,СПбГУ,наука и исследование,доброта и честность,негативное,негативное,Умеренные,reliable
9537,м,30,Уфа,высшее,МГУ,наука и исследование,ум и креативность,негативное,резко негативное,Социалистические,reliable
9538,ж,38,Томск,неоконченное высшее,ТГУ,саморазвитие,ум и креативность,компромиссное,нейтральное,Умеренные,borderline
9539,м,43,Санкт-Петербург,неоконченное высшее,НГУ,саморазвитие,доброта и честность,резко негативное,компромиссное,Умеренные,reliable
9540,ж,27,Челябинск,среднее,,совершенствование мира,ум и креативность,резко негативное,нейтральное,Умеренные,reliable
9541,ж,34,Москва,высшее,КФУ,карьера и деньги,доброта и честность,резко негативное,резко негативное,Социалистические,reliable
9542,ж,42,Санкт-Петербург,нет,,слава и влияние,власть и богатство,положительное,нейтральное,Либертарианство,risky
9543,м,30,Самара,высшее,УрФУ,совершенствование мира,смелость и упорство,негативное,компромиссное,Социалистические,reliable
9544,ж,43,Санкт-Петербург,среднее,,карьера и деньги,доброта и честность,негативное,компромиссное,Консервативные,borderline
9545,м,36,Новосибирск,высшее,СПбГУ,семья и дети,доброта и честность,компромиссное,компромиссное,Социалистические,reliable
9546,ж,25,Казань,неоконченное высшее,КФУ,развлечения и отдых,юмор и жизнелюбие,нейтральное,положительное,Либеральные,borderline
9547,ж,31,Челябинск,высшее,МГУ,семья и дети,ум и креативность,нейтральное,нейтральное,Индифферентные,borderline
9548,м,38,Томск,высшее,НГУ,развлечения и отдых,доброта и честность,нейтральное,компромиссное,Либеральные,borderline
9549,ж,26,Санкт-Петербург,высшее,НГУ,наука и исследование,доброта и честность,резко негативное,негативное,Умеренные,reliable
9550,м,27,Казань,высшее,КФУ,семья и дети,доброта и честность,негативное,резко негативное,Консервативные,reliable
9551,ж,33,Санкт-Петербург,высшее,ИТМО,наука и исследование,ум и креативность,нейтральное,негативное,Умеренные,reliable
9552,м,28,Томск,высшее,РАНХиГС,саморазвитие,доброта и честность,нейтральное,компромиссное,Умеренные,borderline
9553,м,31,Томск,высшее,НГУ,развлечения и отдых,доброта и честность,нейтральное,нейтральное,Индифферентные,borderline
9554,ж,43,Новосибирск,высшее,МГТУ им. Баумана,саморазвитие,доброта и честность,негативное,негативное,Умеренные,borderline
9555,ж,28,Санкт-Петербург,высшее,ТГУ,семья и дети,доброта и честность,резко негативное,резко негативное,Умеренные,reliable
9556,ж,42,Омск,высшее,КФУ,семья и дети,доброта и честность,резко негативное,негативное,Умеренные,reliable
9557,м,41,Томск,высшее,РАНХиГС,карьера и деньги,власть и богатство,нейтральное,нейтральное,Индифферентные,borderline
9558,м,27,Москва,неоконченное высшее,СПбГУ,саморазвитие,ум и креативность,компромиссное,компромиссное,Индифферентные,borderline
9559,ж,45,Санкт-Петербург,неоконченное высшее,КФУ,семья и дети,доброта и честность,положительное,компромиссное,Либертарианство,borderline
9560,м,36,Екатеринбург,высшее,ИТМО,саморазвитие,доброта и честность,негативное,негативное,Консервативные,reliable
9561,м,32,Уфа,неоконченное высшее,МИФИ,развлечения и отдых,доброта и честность,компромиссное,нейтральное,Консервативные,borderline
9562,ж,36,Томск,высшее,КФУ,саморазвитие,юмор и жизнелюбие,компромиссное,нейтральное,Индифферентные,borderline
9563,м,40,Томск,среднее,,саморазвитие,юмор и жизнелюбие,компромиссное,негативное,Либертарианство,borderline
9564,м,36,Самара,неоконченное высшее,МГТУ им. Баумана,наука и исследование,доброта и честность,негативное,нейтральное,Умеренные,reliable
9565,м,32,Екатеринбург,высшее,МГУ,развлечения и отдых,доброта и честность,компромиссное,нейтральное,Индифферентные,borderline
9566,м,33,Томск,высшее,УрФУ,наука и исследование,смелость и упорство,негативное,негативное,Консервативные,reliable
9567,м,24,Екатеринбург,высшее,НГУ,карьера и деньги,ум и креативность,компромиссное,нейтральное,Либертарианство,borderline
9568,м,25,Екатеринбург,высшее,ТГУ,карьера и деньги,доброта и честность,положительное,компромиссное,Индифферентные,borderline
9569,ж,21,Екатеринбург,высшее,ТГУ,саморазвитие,смелость и упорство,негативное,резко негативное,Консервативные,reliable
9570,м,41,Уфа,высшее,МГТУ им. Баумана,наука и исследование,ум и креативность,компромиссное,нейтральное,Консервативные,reliable
9571,м,29,Москва,высшее,НГУ,карьера и деньги,юмор и жизнелюбие,нейтральное,компромиссное,Умеренные,borderline
9572,ж,43,Омск,высшее,СПбГУ,семья и дети,смелость и упорство,резко негативное,резко негативное,Консервативные,reliable
9573,м,39,Казань,высшее,НГУ,карьера и деньги,ум и креативность,резко негативное,компромиссное,Умеренные,reliable
9574,м,39,Екатеринбург,высшее,МИФИ,семья и дети,доброта и честность,компромиссное,положительное,Консервативные,borderline
9575,ж,24,Казань,неоконченное высшее,УрФУ,семья и дети,смелость и упорство,негативное,нейтральное,Консервативные,reliable
9576,м,39,Томск,высшее,МИФИ,карьера и деньги,ум и креативность,компромиссное,нейтральное,Либертарианство,borderline
9577,ж,23,Екатеринбург,среднее,,саморазвитие,юмор и жизнелюбие,негативное,нейтральное,Индифферентные,borderline
9578,м,40,Москва,высшее,ИТМО,семья и дети,смелость и упорство,резко негативное,негативное,Умеренные,reliable
9579,м,23,Омск,неоконченное высшее,ТГУ,наука и исследование,ум и креативность,негативное,резко негативное,Индифферентные,reliable
9580,ж,27,Уфа,высшее,СПбГУ,саморазвитие,ум и креативность,резко негативное,негативное,Умеренные,reliable
9581,м,41,Екатеринбург,высшее,ИТМО,наука и исследование,доброта и честность,негативное,компромиссное,Консервативные,reliable
9582,м,43,Новосибирск,неоконченное высшее,УрФУ,карьера и деньги,власть и богатство,положительное,нейтральное,Либертарианство,risky
9583,м,22,Уфа,нет,,слава и влияние,власть и богатство,положительное,компромиссное,Индифферентные,risky
9584,м,27,Уфа,высшее,МГУ,саморазвитие,смелость и упорство,негативное,нейтральное,Консервативные,reliable
9585,ж,29,Новосибирск,высшее,СПбГУ,семья и дети,доброта и честность,компромиссное,компромиссное,Консервативные,reliable
9586,ж,32,Новосибирск,неоконченное высшее,МГТУ им. Баумана,семья и дети,ум и креативность,резко негативное,негативное,Социалистические,reliable
9587,ж,24,Уфа,высшее,МГУ,карьера и деньги,власть и богатство,негативное,нейтральное,Либеральные,borderline
9588,ж,25,Казань,среднее,,саморазвитие,доброта и честность,негативное,резко негативное,Консервативные,reliable
9589,м,27,Новосибирск,среднее,,саморазвитие,ум и креативность,нейтральное,нейтральное,Либеральные,borderline
9590,м,35,Москва,неоконченное высшее,УрФУ,наука и исследование,доброта и честность,негативное,компромиссное,Консервативные,reliable
9591,м,39,Омск,высшее,МГТУ им. Баумана,саморазвитие,ум и креативность,нейтральное,компромиссное,Индифферентные,borderline
9592,м,32,Новосибирск,среднее,,развлечения и отдых,доброта и честность,нейтральное,нейтральное,Индифферентные,borderline
9593,м,28,Омск,среднее спец.,,слава и влияние,юмор и жизнелюбие,положительное,положительное,Либеральные,risky
9594,ж,37,Томск,высшее,МИФИ,семья и дети,доброта и честность,резко негативное,нейтральное,Консервативные,reliable
9595,м,39,Новосибирск,неоконченное высшее,КФУ,карьера и деньги,ум и креативность,негативное,компромиссное,Умеренные,borderline
9596,ж,31,Казань,высшее,МГТУ им. Баумана,наука и исследование,доброта и честность,резко негативное,негативное,Консервативные,reliable
9597,ж,34,Екатеринбург,высшее,ИТМО,семья и дети,доброта и честность,негативное,негативное,Умеренные,reliable
9598,ж,41,Уфа,высшее,МГТУ им. Баумана,наука и исследование,ум и креативность,компромиссное,негативное,Консервативные,reliable
9599,ж,25,Казань,неоконченное высшее,ИТМО,карьера и деньги,ум и креативность,нейтральное,компромиссное,Умеренные,borderline
9600,ж,21,Москва,высшее,УрФУ,развлечения и отдых,юмор и жизнелюбие,положительное,нейтральное,Индифферентные,borderline
9601,ж,44,Новосибирск,высшее,МГТУ им. Баумана,карьера и деньги,ум и креативность,компромиссное,нейтральное,Либеральные,borderline
9602,ж,41,Омск,среднее,,карьера и деньги,юмор и жизнелюбие,положительное,компромиссное,Либертарианство,risky
9603,м,38,Екатеринбург,среднее,,саморазвитие,ум и креативность,нейтральное,нейтральное,Индифферентные,borderline
9604,м,23,Новосибирск,среднее,,семья и дети,доброта и честность,негативное,нейтральное,Индифферентные,borderline
9605,ж,35,Челябинск,среднее,,саморазвитие,доброта и честность,резко негативное,резко негативное,Консервативные,reliable
9606,м,38,Москва,высшее,РАНХиГС,карьера и деньги,доброта и честность,компромиссное,негативное,Индифферентные,borderline
9607,ж,35,Томск,высшее,ИТМО,семья и дети,власть и богатство,нейтральное,компромиссное,Либеральные,borderline
9608,м,42,Самара,высшее,КФУ,карьера и деньги,власть и богатство,негативное,компромиссное,Консервативные,borderline
9609,ж,26,Екатеринбург,нет,,развлечения и отдых,красота и здоровье,нейтральное,нейтральное,Либеральные,risky
9610,м,41,Новосибирск,высшее,КФУ,семья и дети,смелость и упорство,резко негативное,резко негативное,Консервативные,reliable
9611,м,25,Омск,высшее,РАНХиГС,семья и дети,ум и креативность,негативное,негативное,Умеренные,reliable
9612,м,44,Челябинск,среднее,,слава и влияние,власть и богатство,компромиссное,компромиссное,Либеральные,risky
9613,ж,33,Томск,высшее,ТГУ,саморазвитие,ум и креативность,негативное,негативное,Умеренные,reliable
9614,м,29,Томск,среднее,,развлечения и отдых,ум и креативность,негативное,нейтральное,Либеральные,borderline
9615,ж,35,Новосибирск,среднее спец.,,карьера и деньги,ум и креативность,негативное,компромиссное,Индифферентные,borderline
9616,м,43,Екатеринбург,неоконченное высшее,МГУ,саморазвитие,ум и креативность,резко негативное,негативное,Консервативные,reliable
9617,ж,40,Томск,среднее,,слава и влияние,власть и богатство,положительное,положительное,Либертарианство,risky
9618,м,42,Томск,высшее,УрФУ,семья и дети,ум и креативность,резко негативное,нейтральное,Умеренные,reliable
9619,м,29,Челябинск,высшее,МИФИ,саморазвитие,ум и креативность,негативное,нейтральное,Либеральные,borderline
9620,м,31,Екатеринбург,среднее,,развлечения и отдых,власть и богатство,положительное,положительное,Индифферентные,risky
9621,ж,30,Москва,высшее,ТГУ,семья и дети,доброта и честность,негативное,негативное,Консервативные,reliable
9622,ж,32,Санкт-Петербург,высшее,РАНХиГС,карьера и деньги,юмор и жизнелюбие,компромиссное,компромиссное,Консервативные,borderline
9623,м,38,Уфа,неоконченное высшее,МГТУ им. Баумана,семья и дети,ум и креативность,положительное,компромиссное,Индифферентные,borderline
9624,м,37,Казань,высшее,РАНХиГС,наука и исследование,доброта и честность,негативное,нейтральное,Консервативные,reliable
9625,м,38,Самара,высшее,ИТМО,семья и дети,смелость и упорство,негативное,резко негативное,Консервативные,reliable
9626,м,36,Казань,неоконченное высшее,ТГУ,саморазвитие,ум и креативность,нейтральное,негативное,Консервативные,reliable
9627,м,27,Екатеринбург,высшее,НГУ,карьера и деньги,доброта и честность,компромиссное,негативное,Умеренные,borderline
9628,м,30,Санкт-Петербург,среднее,,семья и дети,ум и креативность,компромиссное,негативное,Индифферентные,borderline
9629,м,22,Уфа,среднее,,развлечения и отдых,юмор и жизнелюбие,нейтральное,нейтральное,Либертарианство,risky
9630,м,30,Уфа,высшее,СПбГУ,семья и дети,доброта и честность,положительное,компромиссное,Либеральные,borderline
9631,м,23,Омск,высшее,МИФИ,саморазвитие,ум и креативность,резко негативное,нейтральное,Умеренные,reliable
9632,м,42,Самара,неоконченное высшее,РАНХиГС,совершенствование мира,ум и креативность,негативное,резко негативное,Умеренные,reliable
9633,м,41,Томск,среднее,,саморазвитие,ум и креативность,компромиссное,компромиссное,Индифферентные,borderline
9634,м,39,Екатеринбург,высшее,МГУ,карьера и деньги,юмор и жизнелюбие,негативное,нейтральное,Либеральные,borderline
9635,ж,24,Санкт-Петербург,высшее,НГУ,семья и дети,доброта и честность,резко негативное,негативное,Умеренные,reliable
9636,ж,43,Казань,высшее,РАНХиГС,наука и исследование,доброта и честность,резко негативное,компромиссное,Индифферентные,reliable
9637,ж,21,Омск,среднее,,развлечения и отдых,юмор и жизнелюбие,нейтральное,положительное,Либеральные,risky
9638,м,42,Санкт-Петербург,высшее,РАНХиГС,наука и исследование,доброта и честность,негативное,нейтральное,Умеренные,reliable
9639,ж,23,Казань,неоконченное высшее,ИТМО,карьера и деньги,ум и креативность,негативное,компромиссное,Консервативные,reliable
9640,м,44,Казань,неоконченное высшее,УрФУ,саморазвитие,доброта и честность,резко негативное,негативное,Консервативные,reliable
9641,ж,32,Екатеринбург,высшее,МГТУ им. Баумана,семья и дети,доброта и честность,компромиссное,нейтральное,Либеральные,borderline
9642,ж,29,Москва,высшее,НГУ,карьера и деньги,доброта и честность,резко негативное,резко негативное,Умеренные,reliable
9643,ж,26,Екатеринбург,высшее,КФУ,семья и дети,доброта и честность,негативное,нейтральное,Социалистические,reliable
9644,м,27,Омск,неоконченное высшее,МГУ,саморазвитие,доброта и честность,резко негативное,резко негативное,Умеренные,reliable
9645,м,34,Москва,высшее,МГТУ им. Баумана,саморазвитие,доброта и честность,компромиссное,негативное,Социалистические,reliable
9646,ж,34,Томск,высшее,СПбГУ,семья и дети,ум и креативность,негативное,негативное,Умеренные,reliable
9647,ж,28,Омск,высшее,УрФУ,саморазвитие,смелость и упорство,негативное,негативное,Умеренные,reliable
9648,ж,26,Санкт-Петербург,среднее,,семья и дети,юмор и жизнелюбие,компромиссное,нейтральное,Либеральные,borderline
9649,ж,29,Омск,неоконченное высшее,РАНХиГС,саморазвитие,ум и креативность,резко негативное,резко негативное,Консервативные,reliable
9650,м,42,Самара,высшее,ТГУ,семья и дети,доброта и честность,компромиссное,резко негативное,Консервативные,reliable
9651,ж,43,Самара,среднее,,развлечения и отдых,юмор и жизнелюбие,нейтральное,нейтральное,Индифферентные,borderline
9652,м,29,Челябинск,высшее,РАНХиГС,саморазвитие,доброта и честность,негативное,негативное,Индифферентные,reliable
9653,ж,32,Самара,высшее,УрФУ,семья и дети,доброта и честность,компромиссное,негативное,Умеренные,borderline
9654,м,45,Екатеринбург,среднее,,семья и дети,ум и креативность,резко негативное,негативное,Умеренные,reliable
9655,м,43,Омск,высшее,ИТМО,семья и дети,юмор и жизнелюбие,компромиссное,компромиссное,Либеральные,borderline
9656,ж,37,Казань,высшее,НГУ,карьера и деньги,власть и богатство,компромиссное,компромиссное,Либеральные,borderline
9657,м,43,Томск,неоконченное высшее,СПбГУ,карьера и деньги,власть и богатство,нейтральное,негативное,Либертарианство,borderline
9658,ж,21,Омск,высшее,УрФУ,наука и исследование,ум и креативность,негативное,негативное,Умеренные,reliable
9659,ж,42,Казань,неоконченное высшее,МГТУ им. Баумана,саморазвитие,смелость и упорство,резко негативное,негативное,Умеренные,reliable
9660,м,45,Казань,высшее,НГУ,семья и дети,ум и креативность,резко негативное,компромиссное,Индифферентные,reliable
9661,м,31,Челябинск,среднее,,развлечения и отдых,красота и здоровье,нейтральное,положительное,Либеральные,risky
9662,м,29,Томск,среднее спец.,,развлечения и отдых,власть и богатство,нейтральное,положительное,Либертарианство,risky
9663,ж,35,Екатеринбург,среднее,,развлечения и отдых,юмор и жизнелюбие,нейтральное,компромиссное,Либеральные,risky
9664,ж,26,Челябинск,высшее,СПбГУ,совершенствование мира,ум и креативность,негативное,негативное,Социалистические,reliable
9665,ж,22,Москва,высшее,МГТУ им. Баумана,семья и дети,ум и креативность,негативное,резко негативное,Консервативные,reliable
9666,ж,33,Казань,высшее,СПбГУ,семья и дети,власть и богатство,нейтральное,нейтральное,Умеренные,borderline
9667,ж,29,Москва,высшее,ИТМО,семья и дети,ум и креативность,компромиссное,компромиссное,Умеренные,reliable
9668,ж,40,Самара,неоконченное высшее,МИФИ,развлечения и отдых,ум и креативность,компромиссное,компромиссное,Индифферентные,borderline
9669,м,26,Москва,высшее,МГТУ им. Баумана,саморазвитие,доброта и честность,компромиссное,негативное,Консервативные,reliable
9670,ж,35,Самара,высшее,КФУ,семья и дети,ум и креативность,нейтральное,резко негативное,Умеренные,reliable
9671,м,45,Екатеринбург,высшее,РАНХиГС,саморазвитие,смелость и упорство,резко негативное,резко негативное,Умеренные,reliable
9672,м,30,Омск,высшее,ИТМО,наука и исследование,смелость и упорство,негативное,нейтральное,Индифферентные,reliable
9673,м,30,Омск,высшее,УрФУ,наука и исследование,смелость и упорство,негативное,негативное,Умеренные,reliable
9674,ж,30,Томск,высшее,МГУ,карьера и деньги,юмор и жизнелюбие,нейтральное,компромиссное,Либеральные,borderline
9675,м,31,Томск,неоконченное высшее,НГУ,совершенствование мира,ум и креативность,резко негативное,негативное,Индифферентные,reliable
9676,ж,39,Казань,неоконченное высшее,МГУ,саморазвитие,ум и креативность,компромиссное,резко негативное,Консервативные,reliable
9677,ж,23,Екатеринбург,высшее,УрФУ,наука и исследование,смелость и упорство,резко негативное,резко негативное,Умеренные,reliable
9678,ж,36,Новосибирск,высшее,ИТМО,совершенствование мира,ум и креативность,нейтральное,нейтральное,Умеренные,reliable
9679,ж,33,Новосибирск,неоконченное высшее,НГУ,семья и дети,юмор и жизнелюбие,негативное,положительное,Либеральные,borderline
9680,м,25,Екатеринбург,высшее,НГУ,совершенствование мира,ум и креативность,резко негативное,нейтральное,Умеренные,reliable
9681,м,23,Уфа,высшее,ИТМО,наука и исследование,доброта и честность,нейтральное,негативное,Консервативные,reliable
9682,ж,26,Москва,высшее,МИФИ,саморазвитие,доброта и честность,негативное,негативное,Умеренные,reliable
9683,м,32,Москва,среднее,,карьера и деньги,юмор и жизнелюбие,нейтральное,нейтральное,Либертарианство,risky
9684,м,35,Екатеринбург,высшее,СПбГУ,карьера и деньги,ум и креативность,резко негативное,негативное,Консервативные,reliable
9685,ж,34,Самара,неоконченное высшее,МГУ,саморазвитие,смелость и упорство,негативное,негативное,Умеренные,reliable
9686,ж,24,Омск,высшее,МГУ,совершенствование мира,смелость и упорство,резко негативное,негативное,Умеренные,reliable
9687,ж,27,Самара,неоконченное высшее,УрФУ,наука и исследование,доброта и честность,компромиссное,компромиссное,Консервативные,reliable
9688,м,42,Екатеринбург,высшее,РАНХиГС,саморазвитие,ум и креативность,нейтральное,негативное,Умеренные,borderline
9689,м,43,Уфа,неоконченное высшее,МГТУ им. Баумана,саморазвитие,доброта и честность,резко негативное,резко негативное,Умеренные,reliable
9690,ж,32,Самара,среднее,,саморазвитие,доброта и честность,резко негативное,негативное,Социалистические,reliable
9691,м,39,Омск,высшее,СПбГУ,семья и дети,смелость и упорство,резко негативное,негативное,Консервативные,reliable
9692,ж,32,Новосибирск,высшее,МИФИ,совершенствование мира,доброта и честность,компромиссное,резко негативное,Консервативные,reliable
9693,ж,25,Самара,неоконченное высшее,НГУ,развлечения и отдых,ум и креативность,нейтральное,компромиссное,Либеральные,borderline
9694,м,44,Казань,высшее,СПбГУ,семья и дети,доброта и честность,негативное,компромиссное,Консервативные,reliable
9695,м,43,Казань,неоконченное высшее,УрФУ,саморазвитие,ум и креативность,негативное,положительное,Либеральные,borderline
9696,м,26,Томск,высшее,РАНХиГС,семья и дети,ум и креативность,нейтральное,негативное,Консервативные,borderline
9697,м,31,Уфа,высшее,УрФУ,семья и дети,смелость и упорство,компромиссное,нейтральное,Консервативные,reliable
9698,ж,28,Уфа,нет,,развлечения и отдых,красота и здоровье,положительное,положительное,Либертарианство,risky
9699,м,42,Омск,высшее,РАНХиГС,семья и дети,юмор и жизнелюбие,компромиссное,нейтральное,Индифферентные,borderline
9700,ж,23,Санкт-Петербург,высшее,МГТУ им. Баумана,саморазвитие,юмор и жизнелюбие,нейтральное,компромиссное,Умеренные,borderline
9701,м,29,Томск,неоконченное высшее,ТГУ,саморазвитие,ум и креативность,компромиссное,нейтральное,Индифферентные,borderline
9702,ж,31,Москва,среднее спец.,,развлечения и отдых,власть и богатство,нейтральное,компромиссное,Либеральные,risky
9703,ж,30,Новосибирск,среднее,,семья и дети,доброта и честность,нейтральное,компромиссное,Индифферентные,borderline
9704,ж,42,Новосибирск,высшее,МГУ,саморазвитие,ум и креативность,резко негативное,резко негативное,Умеренные,reliable
9705,ж,42,Омск,высшее,НГУ,саморазвитие,ум и креативность,негативное,резко негативное,Социалистические,reliable
9706,ж,33,Екатеринбург,высшее,МГТУ им. Баумана,семья и дети,доброта и честность,нейтральное,негативное,Умеренные,reliable
9707,м,30,Томск,высшее,КФУ,саморазвитие,доброта и честность,негативное,резко негативное,Консервативные,reliable
9708,ж,29,Санкт-Петербург,высшее,УрФУ,карьера и деньги,доброта и честность,резко негативное,резко негативное,Индифферентные,reliable
9709,ж,36,Новосибирск,среднее,,карьера и деньги,ум и креативность,нейтральное,компромиссное,Умеренные,borderline
9710,м,42,Москва,высшее,КФУ,саморазвитие,доброта и честность,резко негативное,негативное,Умеренные,reliable
9711,ж,26,Томск,среднее,,карьера и деньги,доброта и честность,компромиссное,компромиссное,Индифферентные,borderline
9712,ж,41,Санкт-Петербург,среднее спец.,,карьера и деньги,власть и богатство,нейтральное,компромиссное,Либертарианство,risky
9713,м,43,Томск,неоконченное высшее,МГУ,саморазвитие,юмор и жизнелюбие,нейтральное,нейтральное,Умеренные,borderline
9714,ж,41,Омск,высшее,МГУ,наука и исследование,доброта и честность,негативное,нейтральное,Умеренные,reliable
9715,ж,25,Казань,высшее,КФУ,карьера и деньги,доброта и честность,компромиссное,компромиссное,Индифферентные,borderline
9716,м,35,Санкт-Петербург,среднее,,саморазвитие,доброта и честность,негативное,резко негативное,Консервативные,reliable
9717,ж,28,Казань,среднее,,карьера и деньги,власть и богатство,компромиссное,положительное,Либертарианство,borderline
9718,ж,34,Челябинск,неоконченное высшее,ИТМО,семья и дети,доброта и честность,резко негативное,резко негативное,Консервативные,reliable
9719,ж,30,Новосибирск,высшее,МГУ,семья и дети,смелость и упорство,негативное,резко негативное,Консервативные,reliable
9720,ж,44,Екатеринбург,среднее спец.,,развлечения и отдых,власть и богатство,компромиссное,положительное,Индифферентные,risky
9721,ж,23,Самара,среднее,,саморазвитие,доброта и честность,нейтральное,положительное,Умеренные,borderline
9722,ж,40,Омск,среднее,,карьера и деньги,власть и богатство,компромиссное,нейтральное,Индифферентные,risky
9723,м,40,Уфа,высшее,НГУ,семья и дети,доброта и честность,негативное,резко негативное,Умеренные,reliable
9724,ж,43,Челябинск,высшее,УрФУ,карьера и деньги,доброта и честность,компромиссное,негативное,Индифферентные,borderline
9725,м,25,Челябинск,высшее,МГУ,саморазвитие,доброта и честность,нейтральное,нейтральное,Консервативные,reliable
9726,ж,42,Томск,среднее,,развлечения и отдых,красота и здоровье,нейтральное,положительное,Либеральные,risky
9727,м,33,Челябинск,высшее,ТГУ,семья и дети,ум и креативность,негативное,негативное,Социалистические,reliable
9728,м,34,Челябинск,высшее,РАНХиГС,развлечения и отдых,юмор и жизнелюбие,нейтральное,компромиссное,Консервативные,borderline
9729,м,30,Омск,высшее,УрФУ,семья и дети,доброта и честность,негативное,резко негативное,Консервативные,reliable
9730,ж,40,Новосибирск,высшее,ТГУ,семья и дети,доброта и честность,резко негативное,негативное,Умеренные,reliable
9731,м,43,Казань,высшее,МГУ,семья и дети,доброта и честность,негативное,негативное,Консервативные,reliable
9732,ж,43,Санкт-Петербург,высшее,МГТУ им. Баумана,наука и исследование,доброта и честность,резко негативное,нейтральное,Умеренные,reliable
9733,ж,25,Томск,среднее спец.,,развлечения и отдых,власть и богатство,нейтральное,положительное,Либертарианство,risky
9734,ж,39,Казань,высшее,ТГУ,совершенствование мира,ум и креативность,резко негативное,резко негативное,Консервативные,reliable
9735,ж,23,Санкт-Петербург,высшее,СПбГУ,карьера и деньги,ум и креативность,резко негативное,резко негативное,Социалистические,reliable
9736,ж,37,Омск,высшее,КФУ,саморазвитие,доброта и честность,резко негативное,негативное,Умеренные,reliable
9737,ж,37,Москва,высшее,КФУ,семья и дети,ум и креативность,резко негативное,резко негативное,Индифферентные,reliable
9738,ж,38,Уфа,высшее,МГТУ им. Баумана,саморазвитие,ум и креативность,негативное,негативное,Умеренные,reliable
9739,ж,41,Челябинск,среднее,,семья и дети,ум и креативность,негативное,негативное,Консервативные,reliable
9740,м,38,Томск,среднее,,наука и исследование,ум и креативность,нейтральное,негативное,Умеренные,reliable
9741,м,38,Казань,высшее,РАНХиГС,саморазвитие,ум и креативность,компромиссное,компромиссное,Индифферентные,borderline
9742,м,26,Челябинск,высшее,МИФИ,семья и дети,доброта и честность,нейтральное,негативное,Умеренные,reliable
9743,ж,24,Санкт-Петербург,высшее,НГУ,семья и дети,доброта и честность,резко негативное,резко негативное,Индифферентные,reliable
9744,ж,25,Москва,неоконченное высшее,МГТУ им. Баумана,семья и дети,доброта и честность,негативное,резко негативное,Индифферентные,reliable
9745,м,32,Екатеринбург,среднее,,саморазвитие,ум и креативность,компромиссное,компромиссное,Консервативные,reliable
9746,м,32,Казань,высшее,СПбГУ,семья и дети,доброта и честность,негативное,компромиссное,Умеренные,reliable
9747,ж,32,Самара,среднее спец.,,развлечения и отдых,юмор и жизнелюбие,нейтральное,нейтральное,Либертарианство,risky
9748,м,37,Томск,высшее,НГУ,саморазвитие,ум и креативность,положительное,компромиссное,Консервативные,borderline
9749,м,36,Омск,неоконченное высшее,НГУ,карьера и деньги,власть и богатство,компромиссное,нейтральное,Индифферентные,borderline
9750,м,22,Екатеринбург,среднее спец.,,саморазвитие,власть и богатство,нейтральное,компромиссное,Либеральные,borderline
